sku,name,reviewStars,reviewCount,status,price,discount,url
FOXH251,Fox Hill Trading 33 in. Acrylic Counter Stool - Set of 2,4.7,3,IN_STOCK,351.99,7,https://www.hayneedle.com/product/foxhilltrading33inacryliccounterstoolsetof2.cfm
LUS783,LumiSource Trevi Adjustable Height Barstool,4,2,IN_STOCK,144.04,13,https://www.hayneedle.com/product/lumisource-trevi-adjustable-height-barstool.cfm
LUS1146,LumiSource Fuji 27 in. Stackable Faux Leather Counter Stool - Set of 2,5,1,IN_STOCK,232.18,4,https://www.hayneedle.com/product/lumisourcefuji27instackablefauxleathercounterstoolsetof2.cfm
LUS1305,LumiSource Marcel 25.25 in. Upholstered Counter Stool - Set of 2,,,IN_STOCK,277.8,16,https://www.hayneedle.com/product/lumisourcemarcel2525inupholsteredcounterstoolsetof2.cfm
CCH300,Carolina Chair &amp; Table Co. Viola 24 in. Counter Stool - Set of 2,,,IN_STOCK,148.99,9,https://www.hayneedle.com/product/carolinachairtablecoviola24incounterstoolsetof2.cfm
ZMC1165,Zuo Modern Marius Counter Stools- Set of 2,5,1,IN_STOCK,197.99,0,https://www.hayneedle.com/product/zuomodernmariuscounterstool.cfm
ENLB4788,Furniture of America Roseanne Rustic 31 in. Tufted Bar Stool - Set of 2,,,IN_STOCK,339.58,3,https://www.hayneedle.com/product/furnitureofamericaroseannerusticintuftedbarstoolsetof2.cfm
HOMM2240,HomeFare Curved Back 30 in. Bar Stool,,,IN_STOCK,375.49,0,https://www.hayneedle.com/product/homefarecurvedback30inbarstool.cfm
HL4403,Hillsdale Bridgetown Swivel Bar Stool,5,4,IN_STOCK,250.99,14,https://www.hayneedle.com/product/hillsdale-bridgetown-swivel-bar-stool.cfm
LUS1223,LumiSource Canary 25.75 in. Velvet Counter Stool - Set of 2,,,IN_STOCK,362.99,0,https://www.hayneedle.com/product/lumisourcecanary2575invelvetcounterstoolsetof2.cfm
LDTR077,Glamour Home Aleco 24 in. Fabric Counter Stool with Metal Nail Head Accents - Set of 2,,,IN_STOCK,498.49,0,https://www.hayneedle.com/product/glamourhomealecofabriccounterstoolwithmetalnailheadaccentssetof2.cfm
HOMU076,Design Lab MN Xavier 29 in. Matte Black Bar Stool - Set of 2,,,IN_STOCK,172,0,https://www.hayneedle.com/product/designlabmndesignlabxaviermatteblackbarstoolsetof2.cfm
SSC1925,Steve Silver Bali 30 in. Backless Swivel Bar Stool,4.5,2,IN_STOCK,109.99,17,https://www.hayneedle.com/product/stevesilverbali30inbacklessswivelbarstool.cfm
